,ANO_SEMESTRE,DISCIPLINA,DESCRICAO,TAXA_DE_APROVACAO,Frequência da matéria,TAXA_REPROVACAO_POR_NOTA,TAXA_REPROVACAO_POR_FALTA,TAXA_DE_TRANCAMENTO,Tipo_de_materia,Escola
169,2002.2.0,FIS214,MECANICA RACIONAL,0.4275,44,0.205,0.2475,0.12,OBRIGATORIA,ICEB
170,2003.1.0,FIS214,MECANICA RACIONAL,0.6925,44,0.1475,0.1,0.06,OBRIGATORIA,ICEB
171,2003.2.0,FIS214,MECANICA RACIONAL,0.5900000000000001,44,0.21750000000000003,0.0825,0.10999999999999999,OBRIGATORIA,ICEB
172,2004.1.0,FIS214,MECANICA RACIONAL,0.5625,44,0.125,0.1875,0.12,OBRIGATORIA,ICEB
173,2004.2.0,FIS214,MECANICA RACIONAL,0.6525000000000001,44,0.13,0.0325,0.18749999999999997,OBRIGATORIA,ICEB
174,2005.1.0,FIS214,MECANICA RACIONAL,0.5425,44,0.14,0.175,0.14,OBRIGATORIA,ICEB
175,2005.2.0,FIS214,MECANICA RACIONAL,0.6799999999999999,44,0.1,0.095,0.125,OBRIGATORIA,ICEB
176,2006.1.0,FIS214,MECANICA RACIONAL,0.8175,44,0.0525,0.04,0.0925,OBRIGATORIA,ICEB
177,2006.2.0,FIS214,MECANICA RACIONAL,0.655,44,0.1775,0.0975,0.07,OBRIGATORIA,ICEB
178,2007.1.0,FIS214,MECANICA RACIONAL,0.535,44,0.22749999999999998,0.16999999999999998,0.065,OBRIGATORIA,ICEB
179,2007.2.0,FIS214,MECANICA RACIONAL,0.475,44,0.3775,0.0975,0.0475,OBRIGATORIA,ICEB
180,2008.1.0,FIS214,MECANICA RACIONAL,0.7200000000000001,44,0.1875,0.027500000000000004,0.0625,OBRIGATORIA,ICEB
181,2008.2.0,FIS214,MECANICA RACIONAL,0.725,44,0.1575,0.0625,0.057499999999999996,OBRIGATORIA,ICEB
182,2009.1.0,FIS214,MECANICA RACIONAL,0.5625,44,0.14750000000000002,0.07,0.22000000000000003,OBRIGATORIA,ICEB
183,2009.2.0,FIS214,MECANICA RACIONAL,0.7575000000000001,44,0.1125,0.035,0.09,OBRIGATORIA,ICEB
184,2010.1.0,FIS214,MECANICA RACIONAL,0.7875000000000001,44,0.0625,0.09,0.06,OBRIGATORIA,ICEB
185,2010.2.0,FIS214,MECANICA RACIONAL,0.722,44,0.09,0.042,0.146,OBRIGATORIA,ICEB
186,2011.1.0,FIS214,MECANICA RACIONAL,0.5783333333333334,44,0.2866666666666666,0.028333333333333335,0.10666666666666667,OBRIGATORIA,ICEB
187,2011.2.0,FIS214,MECANICA RACIONAL,0.705,44,0.21333333333333335,0.03666666666666667,0.043333333333333335,OBRIGATORIA,ICEB
188,2012.1.0,FIS214,MECANICA RACIONAL,0.5866666666666667,44,0.15666666666666665,0.025000000000000005,0.2316666666666667,OBRIGATORIA,ICEB
189,2012.2.0,FIS214,MECANICA RACIONAL,0.5616666666666666,44,0.2916666666666667,0.041666666666666664,0.105,OBRIGATORIA,ICEB
190,2013.1.0,FIS214,MECANICA RACIONAL,0.4583333333333334,44,0.29333333333333333,0.043333333333333335,0.20500000000000004,OBRIGATORIA,ICEB
191,2013.2.0,FIS214,MECANICA RACIONAL,0.434,44,0.21200000000000002,0.026000000000000002,0.328,OBRIGATORIA,ICEB
192,2014.1.0,FIS214,MECANICA RACIONAL,0.7466666666666666,44,0.155,0.03,0.065,OBRIGATORIA,ICEB
193,2014.2.0,FIS214,MECANICA RACIONAL,0.5599999999999999,44,0.19666666666666666,0.06999999999999999,0.17666666666666667,OBRIGATORIA,ICEB
194,2015.1.0,FIS214,MECANICA RACIONAL,0.582,44,0.168,0.05800000000000001,0.192,OBRIGATORIA,ICEB
195,2015.2.0,FIS214,MECANICA RACIONAL,0.6633333333333332,44,0.18166666666666667,0.06499999999999999,0.09000000000000001,OBRIGATORIA,ICEB
196,2016.1.0,FIS214,MECANICA RACIONAL,0.5933333333333334,44,0.2583333333333333,0.02666666666666667,0.12000000000000001,OBRIGATORIA,ICEB
197,2016.2.0,FIS214,MECANICA RACIONAL,0.76,44,0.09,0.03428571428571429,0.12000000000000001,OBRIGATORIA,ICEB
198,2017.1.0,FIS214,MECANICA RACIONAL,0.7116666666666668,44,0.08166666666666667,0.015000000000000001,0.19166666666666668,OBRIGATORIA,ICEB
199,2017.2.0,FIS214,MECANICA RACIONAL,0.715,44,0.16166666666666668,0.013333333333333334,0.105,OBRIGATORIA,ICEB
200,2018.1.0,FIS214,MECANICA RACIONAL,0.68,44,0.165,0.03833333333333334,0.11166666666666668,OBRIGATORIA,ICEB
