,ANO,DISCIPLINA,DESCRICAO,TAXA_DE_APROVACAO
470,2009,MTM703,CALCULO DIFERENCIAL E INTEGRAL C,0.48
471,2009,MTM730,GEOMETRIA ANALITICA E ALGEBRA LINEAR,0.6525000000000001
472,2009,PRO126,"ENERGIA, SOCIEDADE E MEIO AMBIENTE",0.78
473,2009,PRO215,PLANEJAMENTO E CONTROLE DA PRODUCAO I,0.75
474,2009,PRO216,PLANEJAMENTO E CONTROLE DE PRODUCAO II,1.0
475,2009,PRO217,PLANEJAMENTO DAS INSTALACOES,1.0
476,2009,PRO219,PROJETO DO PRODUTO,1.0
477,2009,PRO224,ECONOMIA DA ENGENHARIA,0.825
478,2009,PRO226,MACROECONOMIA,0.97
479,2009,PRO227,MICROECONOMIA,0.955
480,2009,PRO232,ENGENHARIA DO TRABALHO,0.87
481,2009,PRO235,ERGONOMIA DO TRABALHO,0.9025
482,2009,PRO236,ENGENHARIA DE PROCESSOS CONTINUOS,0.7849999999999999
483,2009,PRO303,TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL,1.0
484,2009,PRO304,TOPICOS ESPECIAIS EM GERENCIA DA PRODUCAO,0.85
485,2009,PRO305,TOPICOS ESPECIAIS EM ENGENHARIA ECONOMICA,0.5
486,2009,PRO314,GERENCIA DE RECURSOS HUMANOS,0.9199999999999999
487,2009,PRO316,LOGISTICA REVERSA,1.0
488,2009,PRO318,PLANEJAMENTO ESTRATEGICO,0.8
489,2009,PRO320,ANALISE DE INVESTIMENTOS,0.8
490,2009,PRO321,ADMINISTRACAO FINANCEIRA,0.81
491,2009,PRO338,GESTAO AMBIENTAL DE SISTEMAS ENERGETICOS,0.5
492,2009,PRO341,TEORIA DOS GRAFOS,1.0
493,2009,PRO342,ENGENHARIA DA CONFIABILIDADE,0.87
494,2009,PRO343,GESTAO DA QUALIDADE,0.77
495,2009,PRO344,GESTAO DA INOVACAO E TECNOLOGIA,0.73
496,2009,PRO345,ADMINISTRACAO DE MARKETING,0.44
497,2009,PRO349,ECONOMIA DA TECNOLOGIA,0.5
498,2009,PRO351,CONTROLE ESTATISTICO DE QUALIDADE,0.95
499,2009,PRO366,TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL III,1.0
500,2009,PRO390,ESTAGIO SUPERVISIONADO EM ENGENHARIA DE PRODUCAO,0.73
501,2009,PRO490,PROJETO FINAL DE GRADUACAO,0.8461538461538461
502,2009,PRO491,TRABALHO FINAL DE GRADUACAO - MONOGRAFIA,0.707391304347826
503,2009,PRO701,METODOS MATEMATICOS DA ENGENHARIA I,0.8600000000000001
504,2009,PRO702,SEMINARIO E TRABALHOS ORIENTADOS EM ENGENHARIA DE PRODUCAO,0.8882352941176471
505,2009,PRO703,PROBABILIDADE APLICADA A ENGENHARIA,0.8433333333333334
506,2009,PRO704,METODOS MATEMATICOS DA ENGENHARIA II,0.75
507,2009,PRO705,ESTATISTICA APLICADA A ENGENHARIA,0.8166666666666668
508,2009,PRO706,PESQUISA OPERACIONAL I,0.88
509,2009,PRO707,TEORIA GERAL DA ADMINISTRACAO,0.9450000000000001
510,2009,PRO708,PESQUISA OPERACIONAL II,0.84
511,2009,PRO709,ORGANIZACAO DO TRABALHO,1.0
512,2009,PRO710,"CIENCIA, TECNOLOGIA E SOCIEDADE",0.8960000000000001
513,2009,PRO711,"ENGENHARIA DE PROCESSOS, RISCOS E PERDAS",0.97
514,2009,PRO713,ENGENHARIA DA QUALIDADE,0.9466666666666667
515,2009,PRO715,LOGISTICA E TRANSPORTE,0.85
516,2009,QUI701,QUIMICA FUNDAMENTAL,0.808888888888889
517,2010,ARQ700,EXPRESSAO GRAFICA,0.9025
518,2010,BCC342,INTRODUCAO A OTIMIZACAO,0.5449999999999999
519,2010,BCC466,TECNICAS METAHEURISTICAS PARA OTIMIZACAO COMBINATORIA,0.6
520,2010,BCC701,PROGRAMACAO DE COMPUTADORES I,0.7074358974358975
521,2010,BCC702,PROGRAMACAO DE COMPUTADORES II,0.5119999999999999
522,2010,BCC760,CALCULO NUMERICO,0.6356521739130435
523,2010,CAT107,INSTALACOES INDUSTRIAIS,0.985
524,2010,CAT700,AUTOMACAO DE SISTEMAS DE PRODUCAO,0.9099999999999999
525,2010,FIS130,FISICA I,0.56625
526,2010,FIS131,FISICA II,0.7091666666666666
527,2010,FIS132,FISICA III,0.5419999999999999
528,2010,FIS133,FISICA IV,0.717
529,2010,FIS214,MECANICA RACIONAL,0.7511111111111111
530,2010,FIS215,MECANICA DO CONTINUO,0.79
531,2010,MET247,ENGENHARIA DE PROCESSOS MECANICOS,0.87
532,2010,MET700,CIENCIA DOS MATERIAIS,0.9566666666666667
533,2010,MTM700,CALCULO DIFERENCIAL E INTEGRAL A,0.53
534,2010,MTM702,CALCULO DIFERENCIAL E INTEGRAL B,0.6157142857142858
535,2010,MTM703,CALCULO DIFERENCIAL E INTEGRAL C,0.6933333333333334
536,2010,MTM730,GEOMETRIA ANALITICA E ALGEBRA LINEAR,0.5175
537,2010,PRO126,"ENERGIA, SOCIEDADE E MEIO AMBIENTE",0.92
538,2010,PRO215,PLANEJAMENTO E CONTROLE DA PRODUCAO I,0.71
539,2010,PRO216,PLANEJAMENTO E CONTROLE DE PRODUCAO II,0.86
540,2010,PRO217,PLANEJAMENTO DAS INSTALACOES,1.0
541,2010,PRO219,PROJETO DO PRODUTO,0.77
542,2010,PRO224,ECONOMIA DA ENGENHARIA,0.9233333333333332
543,2010,PRO226,MACROECONOMIA,0.925
544,2010,PRO227,MICROECONOMIA,0.87
545,2010,PRO232,ENGENHARIA DO TRABALHO,0.85
546,2010,PRO235,ERGONOMIA DO TRABALHO,0.865
547,2010,PRO236,ENGENHARIA DE PROCESSOS CONTINUOS,0.75
548,2010,PRO314,GERENCIA DE RECURSOS HUMANOS,0.8400000000000001
549,2010,PRO316,LOGISTICA REVERSA,1.0
550,2010,PRO318,PLANEJAMENTO ESTRATEGICO,0.78
551,2010,PRO321,ADMINISTRACAO FINANCEIRA,0.885
552,2010,PRO338,GESTAO AMBIENTAL DE SISTEMAS ENERGETICOS,0.7
553,2010,PRO344,GESTAO DA INOVACAO E TECNOLOGIA,0.7
554,2010,PRO351,CONTROLE ESTATISTICO DE QUALIDADE,0.91
555,2010,PRO353,ENGENHARIA DE MANUTENCAO,1.0
556,2010,PRO354,TOPICOS ESPECIAIS EM GERENCIA DA PRODUCAO I,1.0
557,2010,PRO356,TOPICOS ESPECIAIS EM GERENCIA DA PRODUCAO III,1.0
558,2010,PRO358,TOPICOS ESPECIAIS EM GERENCIA DA PRODUCAO V,0.75
559,2010,PRO359,TOPICOS ESPECIAIS EM ENGENHARIA ECONOMICA I,0.67
560,2010,PRO360,TOPICOS ESPECIAIS EM ENGENHARIA ECONOMICA II,1.0
561,2010,PRO363,TOPICOS ESPECIAIS EM ENGENHARIA ECONOMICA V,1.0
562,2010,PRO365,TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL II,1.0
563,2010,PRO366,TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL III,0.75
564,2010,PRO368,TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL V,
565,2010,PRO369,TOPICOS ESPECIAIS EM PLANEJAMENTO ENERGETICO I,1.0
566,2010,PRO370,TOPICOS ESPECIAIS EM PLANEJAMENTO ENERGETICO II,1.0
567,2010,PRO371,TOPICOS ESPECIAIS EM PLANEJAMENTO ENERGETICO III,1.0
568,2010,PRO374,GESTAO DA CADEIA DE SUPRIMENTOS,0.8
569,2010,PRO390,ESTAGIO SUPERVISIONADO EM ENGENHARIA DE PRODUCAO,0.78
570,2010,PRO490,PROJETO FINAL DE GRADUACAO,0.8436363636363636
571,2010,PRO491,TRABALHO FINAL DE GRADUACAO - MONOGRAFIA,0.6370588235294118
572,2010,PRO701,METODOS MATEMATICOS DA ENGENHARIA I,0.79
573,2010,PRO702,SEMINARIO E TRABALHOS ORIENTADOS EM ENGENHARIA DE PRODUCAO,0.8611764705882353
574,2010,PRO703,PROBABILIDADE APLICADA A ENGENHARIA,0.765
575,2010,PRO704,METODOS MATEMATICOS DA ENGENHARIA II,0.74
576,2010,PRO705,ESTATISTICA APLICADA A ENGENHARIA,0.91
577,2010,PRO706,PESQUISA OPERACIONAL I,0.9
